hale,健壮的， 矍铄的
disconsolate,闷闷不乐的， 郁郁寡欢的
ethos,风貌， 气质
untarnished,失去光泽的
ulcer,溃疡； 腐烂物
wade,涉水； 跋涉
placard,张贴布告。招贴，布告
slipshod,马虎的， 草率的
hamper,妨碍，阻挠。大篮子
favorable,有利的； 赞成的
implant,植入， 插入； 灌输
wrist,腕， 腕关节
approach,接近，靠近；着手处理。方法
overshadow,使蒙上阴影； 使黯然失色
exaggeration,夸张
unconscionable,无节制的， 过度的， 不合理的
decisive,决定性的； 坚定的， 果断的
impuissance,无力， 虚弱
daredevil,胆大的，冒失的。胆大的人， 冒失的人
genteel,有教养的， 彬彬有礼的； 冒充上流的， 附庸风雅的
thesis,论题， 论文
precursor,先驱， 先兆
bump,碰撞。碰撞声
cameo,刻有浮雕的宝石； 生动刻画； 出演
ordain,任命； 颁发命令
barefaced,厚颜无耻的， 公然的
mull,思考，思索。混乱
sneer,嘲笑， 鄙视
wage,开始， 进行
arid,干旱的； 枯燥的
explicate,详细解说
dismiss,解散； 解雇
interpolate,插入； 篡改
underlying,在下面的； 根本的； 潜在的
abysmal,极深的； 糟透的
harshly,严酷地， 无情地
captivating,吸引人的
install,安装， 装置； 使就职
ambience,环境， 气氛
gum,树胶， 树脂； 橡皮糖， 口香糖
queer,奇怪的， 反常的
disputable,有争议的
iniquity,邪恶， 不公正， 不道德
restrict,限制， 约束
buoy,支持， 鼓励。浮标；救生圈
upscale,升高级， 升档
backset,倒退， 逆流
prolix,说话■嗦的， 冗长的
gavel,槌， 小木槌
hoodwink,蒙混， 欺骗
hitherto,到目前为止
jejune,空洞的； 不成熟的
homemade,自制的， 家里做的
dominant,支配的； 占优势的
heckle,诘问， 责问
lair,窝， 巢穴； 躲藏处
jostle,推挤； 挤开通路
lampoon,讽刺。讽刺文章
scribble,乱写， 乱涂
jaded,疲惫的； 厌倦的
writ,令状； 书面命令
pivotal,中枢的， 枢轴的； 极其重要的， 关键的
impractical,不切实际的
ravel,使纠缠， 纠结； 拆开， 拆散
disfigure,损毁…的外形； 使变丑
ingestion,摄取， 吸收
dicker,讨价还价
notoriously,臭名昭著地
remoteness,遥远； 偏僻
carouse,狂饮寻乐
infirm,虚弱的
sustained,持久的， 持续的
associate,联合的。使发生联系， 使联合。合伙人
scrupulous,恪守道德规范的； 一丝不苟的
buttress,支持。拱墙，拱壁
gleam,发微光， 闪烁。微光，闪光
glean,拾； 收集
expostulate,抗议； 告诫
rejoin,回答， 答辩
charity,慈善； 施舍
compendium,简要， 概略
headstrong,刚愎自用的
void,空的；缺乏的。空隙， 裂缝； 空虚感
ritual,仪式， 惯例
liability,责任； 债务
dispense,分配， 分发
sway,摇动，摇摆；影响。摇摆
affected,不自然的； 假装的
tutor,辅导， 指导。助教；导师，辅导教师；监护人
resurge,复活
reconcile,和解， 调和
annul,宣告无效； 取消
reciprocate,回报， 答谢
inveterate,积习已深的， 根深蒂固的
stonewall,拖延议事， 设置障碍
lank,细长的； 长、 直且柔软的
irradiate,照射； 照耀， 照亮
tiff,口角， 小争吵
procrastinate,耽搁， 拖延
nuance,细微差异
threadlike,线状的
muse,沉思， 冥想
combat,搏斗， 战斗 fight between two people， armies)
indulge,放纵， 纵容； 满足
catastrophe,突如其来的大灾难
convex,凸出的
bust,半身像
vestment,官服， 礼服 ； 法衣， 祭袍
contaminate,弄脏， 污染
torpor,死气沉沉
imposing,给人深刻印象的； 壮丽的， 雄伟的
custodian,管理员， 监护人
wring,绞， 拧， 扭
compensatory,补偿性的， 报酬的
consecutive,连续的
dexterity,纯熟， 灵巧
encyclopedic,广博的， 知识渊博的
encyclopedia,百科全书
drainage,排水， 排水系统； 污水
tidy,整齐的， 整洁的； 相当好的
indecipherable,无法破译的
moderately,适度地， 有节制地
macerate,浸软； 使消瘦
proscribe,禁止
offbeat,不规则的， 不平常的
grieve,使某人极为悲伤
incidental,作为自然结果的， 伴随而来的； 偶然发生的
induct,使就职； 使入伍
nonsensical,无意义的； 荒谬的
oversight,疏忽， 失察， 勘漏
crook,使弯曲。钩状物
kaleidoscopic,千变万化的
croon,低声歌唱
miscellany,混合物
camaraderie,同志之情， 友情
instate,任命
chaos,混乱
overcrowd,过度拥挤
pigment,天然色素； 粉状颜料
forecast,预报，预测。预测
mute,沉默的。减弱…的声音。弱音器
deteriorate,变坏， 恶化
accrete,逐渐增长； 添加生长； 连生
induce,诱导； 引起
maleficent,有害的； 作恶的， 犯罪的
wane,减少， 衰落
satirize,讽刺
baffle,使困惑， 难倒
reminiscent,回忆的； 使人联想的
butt,用头抵撞，顶撞。粗大的一端； 烟蒂
resign,委托； 放弃； 辞职
chary,小心的， 审慎的
estranged,疏远的， 不和的
sophisticated,老于世故的； 精密的
chivalrous,骑士精神的； 对女人彬彬有礼的
reside,居住
equivocal,模棱两可的； 不明确的， 不确定的
stooge,配角， 陪衬； 傀儡
hibernate,冬眠
archaic,古老的
chase,雕镂； 追逐；追捕
incompatible,无法和谐共存的， 不相容的
distasteful,不愉快的， 讨厌的
defense,防御， 防护
lard,使丰富， 使充满
overreach,做事过头
reprobate,堕落者，放荡者，行为不检者〔常为幽默用法〕
dissertation,专题论文
infelicity,不幸； 不恰当的事物
multifaceted,多方面的
lark,玩乐，嬉耍。玩乐
inclement,严酷的； 严厉的
convict,定罪['kɑːnvIkt]。罪犯
self-conscious,自觉的； 害羞的， 不自然的
guileless,厚道的， 老实的
refresh,消除…的疲劳， 使精神振作
inhibit,阻止； 抑制
intimate,亲密的。暗示。密友
disclose,揭露
entrust,委托； 托付
fecundity,多产， 丰饶； 繁殖力， 生殖力
religion,宗教； 宗教信仰
ingeniousness,独创性
diagram,图解， 图表
disparate,迥然不同的
automated,自动的
dilapidate,荒废， 毁坏
charm,吸引， 迷住。魅力；咒语，咒符
tragedy,惨剧， 惨事， 灾难
antagonize,使…敌对； 与…对抗
chart,绘制地图， 制订计划。图表
evoke,引起； 唤起
crudity,粗糙， 生硬
antagonism,对抗， 敌对
tilt,倾斜。倾斜； 斜坡
secure,安全的；稳固的。握紧， 关牢； 使安全
equivocator,说模棱话的人， 说话支吾的人
off-key,走调的， 不和谐的
impolitic,不明智的， 失策的
infertile,贫瘠的， 不结果实的
immense,极大的； 无限的
jettison,向外抛弃货物。抛弃的货物； 抛弃
nonplussed,不知所措的， 陷于困境的
definite,清楚的， 明确的
wary,谨慎的， 小心翼翼的
adapt,使适应； 修改
conflate,合并
dissemble,假装， 掩饰
swig,痛饮
rattle,使发出咯咯声； 使慌乱
scotch,镇压， 扑灭
warp,弯曲，变歪。弯曲， 歪斜
injurious,有害的
chant,歌唱， 吟诵。圣歌
osseous,骨的， 多骨的
prank,恶作剧， 玩笑
squall,短暂、 突然且猛烈的风暴； 短暂的骚动
heartrending,令人心碎的
brute,野兽； 残忍的 brutal)
tint,给…淡淡地着色； 染。色泽
toady,谄媚者， 马屁精
untenable,难以防守的； 不能租赁的
squabble,争吵
faddish,流行一时的， 时尚的
partiality,偏袒， 偏心
venomous,有毒的
steady,稳定的； 不变的
cower,畏缩， 蜷缩
attenuate,变薄；变弱。减弱的
ravish,使着迷； 强夺
juxtapose,并列， 并置
yen,渴望
cuddle,搂抱，拥抱。搂抱， 拥抱
temerity,鲁莽， 大胆
infinitesimal,极微小的。极小量
contentious,好争吵的； 有争议的
fructify,结果实； 成功
exult,欢腾， 喜悦
disposable,一次性的； 可自由使用的
rakish,潇洒的； 放荡的
clarity,清楚， 明晰
painstakingly,细心地， 专注地； 辛苦地
unprepossessing,不吸引人的
verisimilar,好像真实的， 逼真的； 可能的
analgesia,无痛觉， 痛觉丧失
illustrative,解说性的， 用作说明的
prate,瞎扯， 唠叨
befoul,弄脏， 诽谤
hew,砍伐； 遵守
deprive,剥夺， 使丧失
swoop,猛扑； 攫取
floral,花的， 植物的
collusive,共谋的
labile,易变化的， 不稳定的
endemic,地方性的
dossier,卷宗， 档案
nugatory,无价值的， 琐碎的
supreme,最高的； 极度的
unarticulated,表达不清的
dawdle,闲荡， 虚度光阴
blatant,厚颜无耻的； 显眼的； 炫耀的
pungent,辛辣的， 刺激的； 尖锐的， 尖刻的
perfunctory,例行公事般的， 敷衍的
forestall,预先阻止， 先发制人
nauseate,作呕， 厌恶
wavy,波状的， 多浪的； 波动起伏的
munition,军火， 军需品
worship,崇拜， 敬仰。崇拜，敬仰
jocund,快乐的， 高兴的
stubborn,固执的； 难以改变的
imprecise,不精确的
glorify,吹捧， 美化
sinuous,蜿蜒的， 迂回的
chubby,丰满的， 圆胖的
bucolic,乡村的； 牧羊的
sartorial,裁缝的， 缝制的
attest,证明， 证实
berate,猛烈责骂
entice,诱使， 引诱
profligate,挥霍的，浪费的。恣意挥霍者
impropriety,不得体的言行举止； 不合适， 不适当
deficient,有缺点的； 缺少的； 不足的
grasping,贪心的， 贪婪的
entirety,整体， 全面
unify,统一， 使成一体； 使相同
immobile,稳定的， 不动的， 静止的
reverse,倒车； 反转； 彻底转变。反面；相反的事物
garrulous,唠叨的， 多话的
char,烧焦； 把…烧成炭
waxy,像蜡的， 苍白的， 光滑的
gallant,勇敢的， 英勇的； 献殷勤的
trinket,小装饰品， 不值钱的珠宝； 琐事
beam,大梁； 光线
hie,疾走， 快速
perspire,出汗
bruit,散布
peremptory,不容反抗的； 专横的
suavity,柔和， 愉快
forebode,预感， 预示， 预兆
potential,潜在的， 可能的
vestigial,退化的
psyche,心智， 精神
croak,发牢骚， 抱怨。蛙鸣声
vigilant,机警的， 警惕的
discriminatory,歧视的， 差别对待的， 偏见的
incarnate,具有人体的； 化身的， 拟人化的
extrapolate,预测， 推测
valorous,勇敢的
stimulate,激励； 激发
square,一致， 符合； 结清
counteract,消除， 抵消
debilitate,使衰弱
interference,干涉， 妨碍
evocative,唤起的， 激起的
distortion,扭曲； 曲解
eulogistic,颂扬的， 歌功颂德的
colony,菌群； 殖民地
allusion,暗指， 间接提到
evanescent,易消失的， 短暂的
artisan,技工
exude,渗出， 慢慢流出； 洋溢
restore,使回复， 恢复； 修复， 修补
sprout,长出，萌芽。嫩芽
alternative,轮流的， 交替的； 两者择一的
lassitude,疲倦无力， 没精打采
misconstrue,误解， 曲解
mean,吝啬的
asunder,分离的； 化为碎片的
chafe,擦热， 擦破； 激怒
pedestrian,徒步的；缺乏想象力的。行人
monstrous,巨大的； 丑陋的， 外表可怕
appall,使惊骇， 使胆寒
lurch,突然不稳地行走[移动]，蹒跚而行。突然的移动
cordiality,诚恳， 热诚
jumpy,紧张不安的， 心惊肉跳的
stride,大步行走
meek,温顺的， 顺从的
rectitude,诚实， 正直， 公正
tenable,站得住脚的， 合理的
chic,漂亮的， 时髦的
stimulant,兴奋剂， 刺激物
appreciate,欣赏； 感激
conventionalize,使按惯例， 使习俗化
predictable,可预知的
dental,牙齿的， 牙科的
bleach,去色，漂白。漂白剂； 漂白的行为
diverse,不同的； 多样的
murderous,蓄意谋杀的， 凶残的； 极厉害的， 要命的
dissolute,放荡的， 无节制的
court,法庭；
distort,扭曲， 弄歪
subsidiary,辅助的； 次要的
interrelate,相互关联， 相互影响
entreat,恳求
diurnal,白昼的， 白天的
gaunt,憔悴的， 瘦削的
precipitous,陡峭的
timorous,胆小的， 胆怯的
agile,敏捷的， 灵活的
bulky,庞大的； 笨重的
hoe,锄头
depict,描绘； 描写， 描述
obstruction,阻碍， 妨碍
edify,陶冶， 启发
perennial,终年的， 全年的； 永久的， 持久的
unmatched,无可匹敌的
vanity,虚荣， 自负
characteristic,有特色的；典型性的。与众不同的特征
uncouth,粗野的， 笨拙的
affix,黏上， 贴上； 添上。词缀
fallacy,错误， 谬论
bully,威胁，以强欺弱。欺凌弱小者
blare,高声发出
chip,薄片， 碎片； 集成电路片
expository,说明的
self-doubt,自我怀疑
assemble,集合， 聚集； 装配， 组装
repel,击退； 使反感
underscore,在…下面画线； 强调
restored,恢复的
thrive,茁壮成长； 繁荣， 兴旺
volcanic,火山的
ejaculate,突然叫出或说出； 射出
celebrity,名声； 名人
dispatch,派遣；迅速处理；匆匆吃完。迅速
inborn,天生的， 先天的
recreational,娱乐的， 休闲的
bulge,膨胀， 鼓起 curve outward)。凸起，膨胀
overwrought,紧张过度的， 兴奋过度的
presentiment,预感
blockade,封锁
vacuous,空虚的， 发呆的
concave,凹的
shallowness,浅； 浅薄
prerequisite,先决条件
blandishment,奉承， 讨好
gymnastic,体操的， 体育的
gobble,贪婪地吃， 狼吞虎咽； 吞没
sensitize,使某人或某事物敏感
probity,刚直， 正直
reckon,推断， 估计； 猜想， 设想
excerpt,摘录， 选录， 节录
abet,教唆； 鼓励， 帮助
confusion,困惑， 糊涂； 混乱， 骚乱
upbraid,斥责， 责骂
world-beater,举世无双的人
ingratiate,逢迎， 讨好
buffoon,丑角； 愚蠢的人
preempt,以优先权获得 so as to obtain the right to buy before others)； 取代(to replace with)
cursory,粗略的； 草率的
corroborate,支持或证实； 强化
bland,情绪平稳的； 无味的
microbe,微生物
trickle,细细地流。细流
checkered,多变的
atone,赎罪， 补偿
hallow,把…视为神圣； 尊敬， 敬畏
disparage,贬低， 轻蔑
self-sufficient,自给自足的
lumber,跌跌撞撞地走，笨拙地走。杂物； 木材
flimflam,欺骗； 胡言乱语
outlast,比…持久
utopian,乌托邦的， 空想的
tangible,可触摸的
spectacular,壮观的， 引人入胜的
hue,色彩， 色泽； 信仰
icicle,冰柱， 冰垂
ransom,赎回。赎金；赎身
topsy-turvy,颠倒的， 相反的； 乱七八糟的， 混乱的
incubus,梦魇； 沉重的负担
simulation,模拟
adventurous,爱冒险的， 大胆的， 充满危险的
irrefutable,无可辩驳的， 毋庸置疑的
artifice,巧妙办法； 诡计
collaborate,合作， 协作； 通敌
parturition,生产， 分娩
desecrate,玷辱， 亵渎
superficial,表面的， 肤浅的
mirage,海市蜃楼； 幻想， 幻影
impasse,僵局； 死路
subterranean,地下的， 地表下的
refrigerate,使冷却， 冷藏
nonconformist,不遵守规范的人，不遵循常规的人
spatial,有关空间的， 在空间的
penury,贫穷； 吝啬
meld,混合， 合并
bouffant,蓬松的； 鼓胀的
valedictory,告别的， 离别的
scuff,拖着脚走
platonic,理论的； 精神上的， 纯友谊的 close and deep but not sexual)
undercut,削价抢生意
sensitive,敏感的
blockage,障碍物
soggy,湿透的
shield,掩护， 保护。盾
floppy,松软的； 软弱的
instantaneous,立即的， 即刻的； 瞬间的
obsession,入迷， 着迷； 固执的念头
nonporous,无孔的； 不渗透的
zephyr,和风； 西风
malfunction,发生故障，失灵。故障
buoyant,有浮力的； 快乐的
generalize,概括， 归纳
accredit,授权
well-deserved,当之无愧的； 罪有应得的
paradoxical,矛盾的； 不正常的
subdue,征服； 压制； 减轻
postdate,填迟…的日期 that is later than the actual date)
gaudy,俗丽的
heresy,异端邪说
trigger,引发， 引起， 触发。扳机
brownish,成褐色的
culmination,顶点； 高潮
segregate,分离， 隔离
flaggy,枯萎的； 松软无力的
withhold,抑制； 扣留， 保留
presumptuous,放肆的， 过分的
mend,修改， 改进
spectral,幽灵的； 谱的， 光谱的
rotate,旋转， 转动； 轮流， 循环
spartan,简朴的； 刻苦的
conscience,良心， 是非感
engulf,吞噬
embitter,使痛苦， 使难受
tantalize,挑惹， 挑逗
misdirect,误导
blade,刀刃， 刀口
extrude,挤出， 推出， 逐出； 伸出， 突出
diverge,分歧， 分开
opponent,对手， 敌手
spiritedness,有精神， 活泼
accelerate,加速； 促进
supplementary,增补的， 补充的
gangway,跳板； 样板； 舷梯
jolly,欢乐的， 快乐的
flagrant,罪恶昭彰的； 公然的
immure,监禁
confiscate,没收； 充公
filial,子女的
petulance,易怒， 性急， 暴躁
regressive,退步的， 退化的
notoriety,臭名昭著； 臭名昭著的人
canonical,符合规定的； 经典的
gangly,身材瘦长难看的
forger,伪造者； 打铁匠
vernal,春季的； 春季般的， 青春的
curtail,削减， 缩短
strife,纷争， 冲突
transgression,违法， 犯罪
peerless,出类拔萃的， 无可匹敌的
invulnerable,不会受伤害的， 刀枪不入的
transform,改变， 变化； 变换， 转换
magnitude,重要性； 星球的亮度
genuine,真的； 真诚的
immune,免疫的； 免除的， 豁免的
disjunction,分离， 分裂
impressive,给人印象深刻的， 感人的
disgruntle,使不高兴
compound,掺和。复合物
conventional,因循守旧的， 传统的
sensory,感觉的， 感官的
hypocrisy,伪善， 虚伪
relent,变宽厚， 变温和， 怜悯
hypocrite,伪善者， 伪君子
purported,传言的， 据称的
lubricant,润滑剂
sedulous,聚精会神的； 勤勉的
annoy,惹恼； 打搅， 骚扰
orbital,轨道的
blockbuster,巨型炸弹； 一鸣惊人的事物； 非常成功的书或电影
particulate,微粒的。微粒
solder,焊接， 焊在一起， 焊合
convulse,使剧烈震动； 震撼
unregenerate,不悔改的
restatement,再声明， 重述
massacre,大屠杀
extort,勒索， 敲诈
bungle,笨拙地做
obsessive,强迫性的， 急迫的； 使人着迷的
xenophobic,恐外的， 恐惧外国人的
temporal,时间的； 世俗的
covet,贪求， 妄想
symbolic,符号的； 象征的
backdrop,背景； 背景幕布
underdog,居于下风者； 受欺负者， 受欺压者
dissimilar,不同的， 不相似的
elongate,延长， 伸长
fray,磨破。吵架，打斗
cosset,宠爱， 溺爱
mete,给予，分配；测量。边界
impulse,动力， 刺激
asymmetric,不对称的
remonstrance,抗议， 抱怨
unecological,非生态的
debar,阻止
manure,给…施肥。粪肥
ironic,挖苦的， 讽刺的； 出乎意料的
permeable,可渗透的
overrule,驳回， 否决
pusillanimous,胆小的
fundamental,根本的， 基本的； 十分重要的
fret,烦躁，焦虑。烦躁， 焦虑
self-determination,自主， 自决
deliberation,细想， 考虑
promulgate,颁布； 宣传， 传播
monotony,单调， 千篇一律
lissome,柔软的
fade,变暗， 褪色， 枯萎， 凋谢
overdue,到期未付的； 晚来的， 延误的
retaliate,报复， 反击
galaxy,星系； 一群
unpalatable,味道差的， 不好吃的； 令人不快的
weary,疲劳的，疲倦的；令人厌烦的，令人厌倦的。厌烦， 疲倦
jubilant,欢呼的， 喜气洋洋的
exhaustiveness,全面， 详尽， 彻底
vainglorious,自负的
bleary,视线模糊的， 朦胧的； 精疲力尽的
ingrain,根深蒂固的。本质
cessation,中止， 停止
stagnation,停滞
extol,赞美
junction,交叉路口； 连接
crumble,弄碎； 崩溃
circumvent,回避； 用计谋战胜或回避
aspiring,有抱负的， 有理想的
unregulated,未受控制的， 未受约束的
dingy,肮脏的， 昏暗的
shrug,耸肩
combative,好斗的
verbatim,逐字的， 照字面的
presentation,介绍， 描述
bumptious,傲慢的， 自夸的
climactic,高潮的
beseech,恳求
engrave,雕刻， 铭刻； 牢记， 铭记
ostentation,夸示， 炫耀
exhaustive,彻底的， 无遗漏的
runic,古北欧文字的； 神秘的
awkward,笨拙的； 难用的； 不便的
glimmer,发微光。摇曳的微光
ruin,毁坏； 毁灭； 使破产。废墟；祸根；毁坏
vanilla,香草， 香子兰
exaltation,得意， 高兴
pester,纠缠， 烦扰
deprecation,反对
autobiographical,自传的， 自传体的
abut,邻接， 毗邻
attune,使调和
disjunctive,分离的； 转折的， 反意的
vital,极其重要的； 充满活力的
salvage,抢救，海上救助。海上救助
euphonious,悦耳的
gulp,吞食， 咽下； 抵制， 忍住
delusion,欺骗； 幻想
ebullience,奔放， 兴高采烈； 沸腾
sequential,连续的， 一连串的
detect,洞察； 查明， 探测
amateur,业余爱好者
condemn,谴责； 判刑
canvass,细查； 拉选票
resentment,愤恨， 怨恨
persnickety,势利的； 爱挑剔的
lexicographer,词典编纂者
byline,标出作者名字的一行
illusory,虚幻的
rapids,急流， 湍流
propaganda,宣传
inferior,下级的， 下属的； 低等的， 较差的
ascetic,禁欲的。苦行者
dramatic,戏剧的； 引人注目的； 戏剧般的
certainty,确定的事情
groundless,无理由的， 无根据的
commend,推荐； 举荐； 表扬； 称赞
vicar,教区牧师
parasite,食客； 寄生物
archetype,原型； 典型
reportorial,记者的； 报道的
deficiency,缺陷； 不足
venerable,值得尊敬的， 庄严的
transcend,超出， 超越， 胜过
spiny,针状的； 多刺的， 棘手的
humanitarian,人道主义者
equestrian,骑马的；骑士阶层的。骑师
sturdy,强健的； 结实的
malefactor,罪犯， 作恶者
snuggle,紧靠， 依偎
palatable,美味的
compatible,能和谐共处的， 相容的
charitable,行善的； 仁爱的
critic,批评者
photosynthesis,光合作用
potboiler,粗制滥造的文艺作品
phenomenal,显著的， 非凡的
provisional,暂时的， 临时的
competing,有竞争性的； 不相上下的
untreated,未治疗的； 未经处理的
ecstatic,狂喜的， 心花怒放的
elephantine,笨拙的； 巨大的
patronize,屈尊俯就； 光顾， 惠顾
eminent,显赫的， 杰出的
scalding,滚烫的
spectrum,光谱； 范围
valve,活门， 阀门
steep,陡峭的；过高的。浸泡， 浸透
immemorial,太古的， 极古的
nettle,烦忧， 激怒。荨麻
affectionate,亲爱的， 挚爱的
scrappy,碎片的； 好斗的； 坚毅的
privilege,特权， 特殊利益
immunity,免疫力； 豁免
gimmick,吸引人的花招， 噱头
ineptitude,无能； 不适当
criss-cross,交叉往来
choppy,波浪起伏的； 不断改变方向的
sententious,说教的； 简要的
belabor,过分冗长地做或说； 痛打
steer,掌舵，驾驶。公牛， 食用牛
delineate,勾画， 描述
innocuous,无害的
boundless,无限的， 无边无际的
erase,擦掉， 抹去
innate,天生的， 固有的
siege,包围， 围攻
gratify,使高兴， 使满足
abstract,抽象的。摘要
gutter,水槽； 街沟
fake,伪造；佯装。假的
egocentric,利己的
wince,畏缩， 退缩
embellishment,装饰； 装饰品
preferably,更可取地， 更好地， 宁可
docile,驯服的， 听话的 easy to control)
rambunctious,骚乱的， 喧闹的
impediment,妨碍， 阻碍物
to-do,喧闹， 骚乱
crystalline,水晶的； 透明的
ascribe,归因于， 归咎于
poll,民意调查； 投票选举
forensic,公开辩论的， 争论的
stringent,严格的， 苛刻的； 缺钱的
guttle,狼吞虎咽
conspiracy,共谋， 阴谋
spite,怨恨， 恶意
oracular,神谕的； 玄妙难懂的
aristocratic,贵族的
fang,毒牙
incorruptible,廉洁的， 不腐败的
recuperate,恢复， 复原
vicissitudinous,有变化的， 变迁的
ilk,类型， 种类
poke,刺， 戳
even-tempered,性情平和的； 不易生气的
spinning,旋转的
unwitting,无意的， 不知不觉的
trite,陈腐的， 陈词滥调的
ingrate,忘恩负义的人
brassy,厚脸皮的， 无礼的
stymie,妨碍， 阻挠
bestow,给予， 赐赠
friable,脆的， 易碎的
despotism,专政； 暴政
windy,有风的； 冗长的； 夸夸其谈的
ocular,眼睛的； 视觉的
forsake,遗弃， 放弃
aleatory,侥幸的， 偶然的
phonetic,语音的
ruffle,弄皱；激怒。褶皱
liberality,慷慨； 心胸开阔
unalterable,不能改变的
complicity,合谋， 串通
discriminate,区别， 歧视
camouflage,掩饰，伪装。伪装
annex,兼并， 附加
ruse,骗术， 计策
postoperative,手术后的
underutilized,未充分利用的
verified,已查清的， 已证实的
pestle,杵， 碾槌
rush,急促；匆忙行事。冲， 奔
tricky,狡猾的
inferable,能推理的， 能推论的
gush,涌出，迸出；滔滔不绝地说。涌出， 迸发
immunize,使免疫
blase,厌倦享乐的， 玩厌了的
transfigure,美化， 改观
sanctimonious,假装虔诚的
episodic,偶然发生的； 分散性的
braggart,吹牛者
potentiate,加强， 强化
impunity,免受惩罚
coagulation,凝结
acuity,敏锐
potation,喝， 饮； 饮料， 酒
unanimous,全体一致的
grief,忧伤， 悲伤
unlikely,不太可能的； 没有希望的
enduring,持久的； 不朽的
pool,资源的集合； 可共享的物资
prude,拘守礼仪的人
moratorium,延缓偿付； 活动中止
passe,已过盛年的； 过时的
untimely,过早的； 不合时宜的
pendulous,下垂的
harangue,长篇攻击性演说
feign,假装， 装作
titular,有名无实的， 名义上的
rhetorical,修辞的， 修辞学的； 虚夸的， 辞藻华丽的
criterion,评判的标准， 尺度
hasten,加速， 加快， 促进
ill-repute,名誉败坏
prowess,勇敢； 非凡的才能
ornamental,装饰性的
reenact,再制定 again)
retire,撤退， 后退； 退休， 退役
efface,擦掉， 抹去
aggressive,好斗的； 有进取心的
pacifist,和平主义者， 反战主义者
resilience,恢复力， 弹力
ire,激怒。愤怒
irk,使苦恼， 使厌烦
odorless,无嗅的， 没有气味的
unleash,发泄， 释放
totter,摇摇欲坠； 步履蹒跚
rationale,基本原理
disdain,轻视，鄙视。轻视， 鄙视
oblige,强迫， 强制； 施恩惠于…
overt,公开的， 非秘密的
fast,很快地； 紧紧地； 深沉地。禁食，斋戒
grating,刺耳的； 恼人的
turbulent,混乱的； 骚乱的
precedent,在先的，在前的。先例； 判例
dappled,有斑点的， 斑驳的
stronghold,要塞； 堡垒， 根据地
characterization,描绘， 刻画
edifice,宏伟的建筑
malaise,不适， 不舒服
persuasive,易使人信服的， 有说服力的
restless,焦躁不安的， 静不下来的
referent,指示对象
rural,乡村的
acclaim,欢呼， 称赞
laxative,通便的。轻泻药
concord,一致； 和睦
masquerade,伪装。化装舞会；
decelerate,减速
negligence,粗心， 疏忽
insecure,无保障的， 不安全的
intuition,直觉； 直觉知识
conciliate,安抚； 安慰； 调和
peculate,挪用
dispensable,不必要的， 可有可无的
accede,同意
sunder,分裂， 分离
abstemious,有节制的， 节俭的
erupt,爆发； 喷出
constructive,建设性的
tantrum,发脾气， 发怒
nullify,使无效； 抵消
respect,尊敬。尊敬
purloin,偷窃
demented,疯狂的
fusion,融合； 核聚变
retreat,撤退。撤退；隐居处
shell,剥去…的壳。贝壳；炮弹
purvey,供给， 供应
unenlightened,愚昧无知的； 不文明的
crooked,不诚实的； 弯曲的
perfidy,不忠， 背叛
trounce,痛击， 严惩
jabber,快而含糊地说
primal,原始的， 最初的； 首要的
treachery,背叛
monarch,君主， 帝王
perjure,使作伪证， 发假誓
expiate,补偿
posthumously,死后地
ticklish,怕痒的； 易怒的
grandeur,壮丽， 宏伟
stratify,层化
surveillance,监视， 盯梢
abstention,戒除； 弃权
reigning,统治的， 起支配作用的
perjury,伪证， 假誓
drenched,湿透的
denude,脱去； 剥蚀； 剥夺
steadfast,忠实的； 不动的， 不变的
mariner,水手， 海员
choosy,挑三拣四的， 挑剔的
enunciate,发音； 表达
pledge,发誓。誓言，保证
detest,厌恶， 憎恨
pedagogic,教育学的
potpourri,混杂物， 杂烩
uncompromising,不妥协的
incongruous,不协调的， 不一致的
overbear,压倒； 镇压； 比…更重要， 超过
furbish,磨光， 刷新
faze,打扰， 扰乱
sanity,头脑清楚， 精神健全
hardy,耐寒的； 强壮的； 大胆的， 勇敢的
coterie,小团体
slack,懈怠的，不活跃的；松弛的。懈怠， 偷懒
casual,偶然的； 非正式的， 随便的
debris,碎片， 残骸
incomprehensible,难以理解的， 难懂的
antithesis,对立； 相对
flossy,华丽的， 时髦的； 丝棉般的， 柔软的
infantile,幼稚的， 孩子气的
captious,吹毛求疵的
disentangle,解决； 解脱， 解开
luster,光辉；
frenetic,狂乱的， 发狂的
animation,兴奋， 活跃
patronizing,以恩惠态度对待的， 要人领情的
full-blown,成熟的； 盛开的； 全面的， 完善的
catholic,普遍的； 广泛的； 宽容的
specialization,特殊化
lukewarm,微温的， 不冷不热的
sundry,各式各样， 各种的
pictorial,绘画的； 用图片的
luscious,美味的； 肉感的
drench,使湿透
highbrow,自以为文化修养很高的人
epoch,新纪元； 重大的事件
assertion,断言， 声明； 主张
ordinance,法令， 条例
synthesis,综合， 合成
polar,极地的， 两极的， 近地极的； 磁极的
unobtrusive,不引人注目的
cryptic,秘密的， 神秘的
cite,引用， 引述
bumble,说话含糊； 拙劣地做
governance,统治， 支配
pertain,属于； 关于
infamous,臭名昭著的
shed,流出； 脱落， 蜕， 落
fossilize,使成为化石； 使过时
unfeigned,真实的， 真诚的
shortsighted,缺乏远见的； 近视的
modifier,修改者； 修饰语
assertive,断言的， 肯定的
